,0,CSNK1A1,Interactors,CSNK1E,CSNK1D,CSNK1A1L
0,Interactors,0.0,0,0.0,0.0,0.0
1,CSNK1A1,0.0,0,0.0,0.0,0.0
2,CSNK1E,0.0,0,0.0,0.0,0.0
3,CSNK1D,0.0,0,0.0,0.0,0.0
4,CSNK1A1L,0.0,0,0.0,0.0,0.0
5,0,0.0,10010,0.0,0.0,0.0
6,0,1.0,100506658,0.0,0.0,0.0
7,0,0.0,10112,0.0,0.0,0.0
8,0,0.0,102724631,0.0,0.0,0.0
9,0,0.0,10410,0.0,0.0,0.0
10,0,0.0,10450,0.0,0.0,0.0
11,0,0.0,10484,0.0,0.0,0.0
12,0,0.0,10551,0.0,0.0,0.0
13,0,0.0,10892,0.0,0.0,0.0
14,0,0.0,10987,0.0,0.0,0.0
15,0,1.0,11033,0.0,0.0,0.0
16,0,0.0,11052,0.0,0.0,0.0
17,0,0.0,11091,0.0,0.0,0.0
18,0,0.0,112399,0.0,0.0,0.0
19,0,1.0,1131,0.0,0.0,0.0
20,0,0.0,116143,0.0,0.0,0.0
21,0,0.0,1213,0.0,0.0,0.0
22,0,0.0,122011,0.0,0.0,0.0
23,0,0.0,124245,0.0,0.0,0.0
24,0,0.0,128866,0.0,0.0,0.0
25,0,0.0,1314,0.0,0.0,0.0
26,0,0.0,132724,0.0,0.0,0.0
27,0,0.0,135398,0.0,0.0,0.0
28,0,0.0,136263,0.0,0.0,0.0
29,0,0.0,140735,0.0,0.0,0.0
30,0,0.0,1432,0.0,0.0,0.0
31,0,0.0,10165,0.0,0.0,0.0
32,0,0.0,1025,0.0,0.0,0.0
33,0,0.0,10273,0.0,0.0,0.0
34,0,0.0,10483,0.0,0.0,0.0
35,0,0.0,10527,0.0,0.0,0.0
36,0,0.0,10598,0.0,0.0,0.0
37,0,0.0,10743,0.0,0.0,0.0
38,0,0.0,10856,0.0,0.0,0.0
39,0,0.0,10939,0.0,0.0,0.0
40,0,0.0,10971,0.0,0.0,0.0
41,0,0.0,10985,0.0,0.0,0.0
42,0,0.0,1104,0.0,0.0,0.0
43,0,0.0,11152,0.0,0.0,0.0
44,0,0.0,113828,0.0,0.0,0.0
45,0,1.0,114548,0.0,0.0,0.0
46,0,0.0,114991,0.0,0.0,0.0
47,0,0.0,143425,0.0,0.0,0.0
48,0,0.0,1453,0.0,0.0,0.0
49,0,0.0,1454,0.0,0.0,0.0
50,0,2.0,1499,0.0,0.0,0.0
51,0,0.0,153090,0.0,0.0,0.0
52,0,0.0,1653,0.0,0.0,0.0
53,0,0.0,203068,0.0,0.0,0.0
