Index,Symbol,ID
400,ARL1,400
401,PHOX2A,401
402,ARL2,402
403,ARL3,403
405,ARNT,405
406,ARNTL,406
407,ARR3,407
408,ARRB1,408
409,ARRB2,409
410,ARSA,410
411,ARSB,411
412,STS,412
413,ARSC2,413
414,ARSD,414
415,ARSE,415
416,ARSF,416
417,ART1,417
418,ART2P,418
419,ART3,419
420,ART4,420
421,ARVCF,421
427,ASAH1,427
429,ASCL1,429
430,ASCL2,430
432,ASGR1,432
433,ASGR2,433
434,ASIP,434
435,ASL,435
436,ASLP1,436
438,ASMT,438
439,ASNA1,439
440,ASNS,440
442,ASNSP2,442
443,ASPA,443
444,ASPH,444
445,ASS1,445
447,ASS1P2,447
449,ASS1P4,449
450,ASS1P5,450
451,ASS1P6,451
453,ASS1P8,453
454,ASS1P9,454
455,ASS1P10,455
459,ASS1P14,459
460,ASTN1,460
462,SERPINC1,462
463,ZFHX3,463
466,ATF1,466
467,ATF3,467
468,ATF4,468
469,ATF4P1,469
471,ATIC,471
472,ATM,472
473,RERE,473
474,ATOH1,474
475,ATOX1,475
476,ATP1A1,476
477,ATP1A2,477
478,ATP1A3,478
479,ATP12A,479
480,ATP1A4,480
481,ATP1B1,481
482,ATP1B2,482
483,ATP1B3,483
484,ATP1B3P1,484
485,ATP1B1P1,485
486,FXYD2,486
487,ATP2A1,487
488,ATP2A2,488
489,ATP2A3,489
490,ATP2B1,490
491,ATP2B2,491
492,ATP2B3,492
493,ATP2B4,493
495,ATP4A,495
496,ATP4B,496
498,ATP5F1A,498
501,ALDH7A1,501
504,ATP5F1AP2,504
506,ATP5F1B,506
507,ATP5F1BP1,507
509,ATP5F1C,509
513,ATP5F1D,513
514,ATP5F1E,514
515,ATP5PB,515
516,ATP5MC1,516
517,ATP5MC2,517
518,ATP5MC3,518
520,ATP5MC2P1,520
521,ATP5ME,521
522,ATP5PF,522
523,ATP6V1A,523
525,ATP6V1B1,525
526,ATP6V1B2,526
527,ATP6V0C,527
528,ATP6V1C1,528
529,ATP6V1E1,529
533,ATP6V0B,533
534,ATP6V1G2,534
535,ATP6V0A1,535
537,ATP6AP1,537
538,ATP7A,538
539,ATP5PO,539
540,ATP7B,540
541,ALDH7A1P1,541
542,ALDH7A1P2,542
543,ALDH7A1P3,543
544,ALDH7A1P4,544
545,ATR,545
546,ATRX,546
547,KIF1A,547
549,AUH,549
550,AUP1,550
551,AVP,551
552,AVPR1A,552
553,AVPR1B,553
554,AVPR2,554
558,AXL,558
560,AZF1,560
563,AZGP1,563
566,AZU1,566
567,B2M,567
568,B2MR,568
570,BAAT,570
571,BACH1,571
572,BAD,572
573,BAG1,573
574,BAGE,574
575,ADGRB1,575
576,ADGRB2,576
577,ADGRB3,577
578,BAK1,578
579,NKX3-2,579
580,BARD1,580
581,BAX,581
582,BBS1,582
583,BBS2,583
585,BBS4,585
586,BCAT1,586
587,BCAT2,587
590,BCHE,590
593,BCKDHA,593
594,BCKDHB,594
595,CCND1,595
596,BCL2,596
597,BCL2A1,597
598,BCL2L1,598
599,BCL2L2,599
600,BAK1P1,600
601,BAK1P2,601
602,BCL3,602
604,BCL6,604
605,BCL7A,605
606,NBEAP1,606
607,BCL9,607
608,TNFRSF17,608
610,HCN2,610
611,OPN1SW,611
613,BCR,613
616,BCRP4,616
617,BCS1L,617
618,BCYRN1,618
619,BCYRN1P1,619
620,BCYRN1P2,620
622,BDH1,622
623,BDKRB1,623
624,BDKRB2,624
627,BDNF,627
629,CFB,629
631,BFSP1,631
632,BGLAP,632
633,BGN,633
634,CEACAM1,634
635,BHMT,635
636,BICD1,636
637,BID,637
638,BIK,638
639,PRDM1,639
640,BLK,640
641,BLM,641
642,BLMH,642
643,CXCR5,643
644,BLVRA,644
645,BLVRB,645
646,BNC1,646
648,BMI1,648
649,BMP1,649
650,BMP2,650
651,BMP3,651
652,BMP4,652
653,BMP5,653
654,BMP6,654
655,BMP7,655
656,BMP8B,656
657,BMPR1A,657
658,BMPR1B,658
659,BMPR2,659
660,BMX,660
661,POLR3D,661
662,BNIP1,662
663,BNIP2,663
664,BNIP3,664
665,BNIP3L,665
666,BOK,666
667,DST,667
668,FOXL2,668
669,BPGM,669
670,BPHL,670
671,BPI,671
672,BRCA1,672
673,BRAF,673
675,BRCA2,675
676,BRDT,676
677,ZFP36L1,677
678,ZFP36L2,678
680,BRS3,680
682,BSG,682
683,BST1,683
684,BST2,684
685,BTC,685
686,BTD,686
687,KLF9,687
688,KLF5,688
689,BTF3,689
690,BTF3P11,690
693,BTF3P1,693
694,BTG1,694
695,BTK,695
696,BTN1A1,696
698,BTS1,698
699,BUB1,699
701,BUB1B,701
705,BYSL,705
706,TSPO,706
708,C1QBP,708
710,SERPING1,710
711,ERC2-IT1,711
712,C1QA,712
713,C1QB,713
714,C1QC,714
715,C1R,715
716,C1S,716
717,C2,717
718,C3,718
719,C3AR1,719
720,C4A,720
721,C4B,721
722,C4BPA,722
724,C4BPAP2,724
725,C4BPB,725
726,CAPN5,726
727,C5,727
728,C5AR1,728
729,C6,729
730,C7,730
731,C8A,731
732,C8B,732
733,C8G,733
734,OSGIN2,734
735,C9,735
738,VPS51,738
740,MRPL49,740
741,ZNHIT2,741
744,MPPED2,744
745,MYRF,745
746,TMEM258,746
747,DAGLA,747
750,GAS8-AS1,750
752,FMNL1,752
753,LDLRAD4,753
754,PTTG1IP,754
755,C21orf2,755
757,TMEM50B,757
758,MPPED1,758
759,CA1,759
760,CA2,760
761,CA3,761
762,CA4,762
763,CA5A,763
764,CA5AP1,764
765,CA6,765
766,CA7,766
767,CA8,767
768,CA9,768
770,CA11,770
771,CA12,771
773,CACNA1A,773
774,CACNA1B,774
775,CACNA1C,775
776,CACNA1D,776
777,CACNA1E,777
778,CACNA1F,778
779,CACNA1S,779
780,DDR1,780
781,CACNA2D1,781
782,CACNB1,782
783,CACNB2,783
784,CACNB3,784
785,CACNB4,785
786,CACNG1,786
788,SLC25A20,788
789,SLC25A20P1,789
790,CAD,790
793,CALB1,793
794,CALB2,794
795,S100G,795
796,CALCA,796
797,CALCB,797
798,CALCP,798
799,CALCR,799
800,CALD1,800
801,CALM1,801
802,CALM1P1,802
804,CALM1P2,804
805,CALM2,805
806,CALM2P2,806
807,CALM2P3,807
808,CALM3,808
810,CALML3,810
811,CALR,811
813,CALU,813
814,CAMK4,814
815,CAMK2A,815
816,CAMK2B,816
817,CAMK2D,817
818,CAMK2G,818
819,CAMLG,819
820,CAMP,820
821,CANX,821
822,CAPG,822
823,CAPN1,823
824,CAPN2,824
825,CAPN3,825
826,CAPNS1,826
827,CAPN6,827
828,CAPS,828
829,CAPZA1,829
830,CAPZA2,830
831,CAST,831
832,CAPZB,832
833,CARS,833
834,CASP1,834
835,CASP2,835
836,CASP3,836
837,CASP4,837
838,CASP5,838
839,CASP6,839
840,CASP7,840
841,CASP8,841
842,CASP9,842
843,CASP10,843
844,CASQ1,844
845,CASQ2,845
846,CASR,846
847,CAT,847
856,CATR1,856
857,CAV1,857
858,CAV2,858
859,CAV3,859
860,RUNX2,860
861,RUNX1,861
862,RUNX1T1,862
863,CBFA2T3,863
864,RUNX3,864
865,CBFB,865
866,SERPINA6,866
867,CBL,867
868,CBLB,868
869,CBLN1,869
871,SERPINH1,871
873,CBR1,873
874,CBR3,874
875,CBS,875
881,CCIN,881
883,KYAT1,883
885,CCK,885
886,CCKAR,886
887,CCKBR,887
889,KRIT1,889
890,CCNA2,890
891,CCNB1,891
892,CCNC,892
894,CCND2,894
895,CCND2P1,895
896,CCND3,896
897,CCND3P1,897
898,CCNE1,898
899,CCNF,899
900,CCNG1,900
901,CCNG2,901
902,CCNH,902
