,CSNK1A1,CSNK1E,CSNK1D,HRR25,CSNK1A1L
571,2.0,0.0,0.0,0.0,1.0
5728,2.0,0.0,0.0,0.0,0.0
57530,1.0,0.0,0.0,0.0,0.0
57683,3.0,0.0,0.0,0.0,1.0
58,1.0,0.0,0.0,0.0,0.0
5879,1.0,0.0,0.0,0.0,0.0
5894,1.0,0.0,0.0,0.0,0.0
5905,1.0,0.0,0.0,0.0,0.0
5981,1.0,0.0,0.0,0.0,0.0
6122,1.0,0.0,0.0,0.0,0.0
6124,1.0,0.0,0.0,0.0,0.0
6155,1.0,0.0,0.0,0.0,0.0
6184,1.0,0.0,0.0,0.0,0.0
6188,1.0,0.0,0.0,0.0,0.0
6210,1.0,0.0,0.0,0.0,0.0
6234,1.0,0.0,0.0,0.0,0.0
6396,3.0,1.0,0.0,0.0,0.0
640,1.0,0.0,0.0,0.0,0.0
644815,5.0,0.0,0.0,0.0,1.0
6455,1.0,0.0,0.0,0.0,0.0
64599,1.0,0.0,0.0,0.0,0.0
653784,1.0,0.0,0.0,0.0,0.0
6576,1.0,0.0,0.0,0.0,0.0
6622,3.0,0.0,1.0,0.0,0.0
6744,1.0,0.0,0.0,0.0,0.0
6772,1.0,0.0,0.0,0.0,0.0
7074,1.0,1.0,0.0,0.0,0.0
71,1.0,0.0,0.0,0.0,0.0
7112,1.0,0.0,0.0,0.0,0.0
7133,1.0,1.0,0.0,0.0,1.0
7157,3.0,1.0,2.0,0.0,1.0
7277,1.0,0.0,0.0,0.0,0.0
7283,1.0,0.0,0.0,0.0,0.0
7405,2.0,0.0,0.0,0.0,0.0
7518,1.0,0.0,0.0,0.0,0.0
790,1.0,0.0,0.0,0.0,0.0
79856,1.0,1.0,0.0,0.0,0.0
80097,1.0,0.0,0.0,0.0,0.0
81610,1.0,2.0,2.0,0.0,1.0
8312,1.0,2.0,1.0,0.0,0.0
8394,1.0,0.0,0.0,0.0,0.0
84295,1.0,1.0,0.0,0.0,0.0
84433,2.0,0.0,0.0,0.0,0.0
8655,1.0,0.0,0.0,0.0,0.0
8669,1.0,0.0,0.0,0.0,0.0
8878,1.0,0.0,0.0,0.0,0.0
8915,3.0,0.0,0.0,0.0,0.0
8925,2.0,0.0,0.0,0.0,0.0
9126,1.0,0.0,0.0,0.0,0.0
94274,1.0,1.0,1.0,0.0,0.0
9462,4.0,2.0,0.0,0.0,0.0
9520,1.0,0.0,0.0,0.0,0.0
9736,4.0,0.0,0.0,0.0,0.0
9759,1.0,0.0,0.0,0.0,0.0
9852,1.0,0.0,0.0,0.0,0.0
9919,1.0,1.0,0.0,0.0,0.0
993,1.0,0.0,0.0,0.0,0.0
999,1.0,0.0,1.0,0.0,0.0
145508,1.0,1.0,1.0,0.0,0.0
161176,1.0,0.0,0.0,0.0,0.0
1803,1.0,0.0,0.0,0.0,0.0
1869,1.0,0.0,0.0,0.0,0.0
1894,1.0,0.0,0.0,0.0,1.0
1956,1.0,0.0,0.0,0.0,0.0
1994,1.0,1.0,0.0,0.0,0.0
2010,1.0,0.0,0.0,0.0,0.0
2099,1.0,0.0,0.0,0.0,0.0
2100,1.0,0.0,0.0,0.0,0.0
221150,1.0,0.0,0.0,0.0,0.0
22927,1.0,0.0,0.0,0.0,0.0
22981,1.0,0.0,0.0,0.0,0.0
23235,1.0,0.0,0.0,0.0,0.0
23476,1.0,0.0,0.0,0.0,0.0
23586,1.0,1.0,0.0,0.0,0.0
2512,1.0,1.0,1.0,0.0,0.0
2547,1.0,0.0,0.0,0.0,0.0
26135,1.0,0.0,0.0,0.0,0.0
26471,1.0,0.0,0.0,0.0,0.0
284680,3.0,0.0,0.0,0.0,0.0
30011,1.0,0.0,0.0,0.0,0.0
3169,1.0,0.0,0.0,0.0,0.0
3191,1.0,0.0,1.0,0.0,0.0
340069,3.0,0.0,0.0,0.0,3.0
3630,1.0,0.0,0.0,0.0,0.0
3667,1.0,0.0,0.0,0.0,0.0
3676,1.0,0.0,0.0,0.0,0.0
3845,1.0,0.0,0.0,0.0,0.0
387893,1.0,0.0,1.0,0.0,0.0
388,2.0,0.0,0.0,0.0,0.0
388468,2.0,0.0,0.0,0.0,0.0
3916,1.0,0.0,0.0,0.0,0.0
399687,1.0,0.0,0.0,0.0,0.0
474,1.0,2.0,2.0,0.0,0.0
4772,1.0,0.0,1.0,0.0,1.0
4775,2.0,0.0,0.0,0.0,0.0
4914,1.0,1.0,0.0,0.0,0.0
5108,2.0,2.0,2.0,0.0,0.0
51199,2.0,0.0,0.0,0.0,0.0
51343,1.0,0.0,1.0,0.0,0.0
51368,3.0,1.0,1.0,0.0,0.0
51512,1.0,1.0,0.0,0.0,0.0
51517,2.0,0.0,0.0,0.0,0.0
5347,1.0,0.0,0.0,0.0,0.0
54101,1.0,1.0,1.0,0.0,0.0
54443,1.0,0.0,1.0,0.0,1.0
54894,3.0,5.0,0.0,0.0,0.0
55004,1.0,0.0,0.0,0.0,0.0
5501,1.0,1.0,0.0,0.0,0.0
55054,1.0,0.0,0.0,0.0,0.0
55294,1.0,0.0,0.0,0.0,1.0
55667,1.0,0.0,0.0,0.0,0.0
55737,1.0,0.0,0.0,0.0,0.0
5587,1.0,0.0,0.0,0.0,1.0
56649,1.0,0.0,0.0,0.0,0.0
5727,1.0,0.0,0.0,0.0,1.0
57407,1.0,0.0,0.0,0.0,0.0
5829,1.0,0.0,0.0,0.0,1.0
58504,2.0,2.0,1.0,0.0,0.0
6117,1.0,0.0,0.0,0.0,1.0
6118,1.0,0.0,0.0,0.0,1.0
6119,1.0,0.0,0.0,0.0,1.0
613,1.0,0.0,0.0,0.0,0.0
6597,1.0,1.0,1.0,0.0,0.0
65992,1.0,0.0,0.0,0.0,0.0
6657,1.0,0.0,0.0,0.0,0.0
6928,1.0,0.0,0.0,0.0,0.0
7186,1.0,0.0,0.0,0.0,0.0
7412,1.0,0.0,0.0,0.0,0.0
7465,1.0,0.0,0.0,0.0,0.0
7514,1.0,1.0,1.0,0.0,0.0
7531,1.0,0.0,0.0,0.0,0.0
7532,1.0,0.0,0.0,0.0,0.0
7706,1.0,0.0,1.0,0.0,0.0
7764,1.0,0.0,0.0,0.0,0.0
79007,1.0,1.0,1.0,0.0,0.0
79927,1.0,1.0,1.0,0.0,0.0
81631,1.0,0.0,0.0,0.0,0.0
84445,1.0,0.0,2.0,0.0,0.0
8517,1.0,0.0,1.0,0.0,0.0
8519,1.0,0.0,0.0,0.0,0.0
8715,1.0,0.0,0.0,0.0,0.0
8772,1.0,0.0,1.0,0.0,0.0
8829,1.0,0.0,0.0,0.0,0.0
8844,1.0,0.0,0.0,0.0,0.0
